,Query,Type,Sub-type
27,Checks if the security system is armed at home but disarmed when away.,Contradictories,Alius
28,Checks if a machine is operating normally but also under maintenance.,Contradictories,Alius
29,"Checks if payment is marked as made when an order is processed but not made when pending, which means payment status depends on the order's condition in an inconsistent way.",Contradictories,Alius
30,Write a function that checks if all cars are electric and returns True if some cars are electric but only if they are new.,Subalterns,Alius
31,"Write a function that checks if all products are on sale and returns True if some products are on sale, but only if they have a discount.",Subalterns,Alius
32,"Write a function that checks if all students passed and returns True if some students passed, but only if they studied.",Subalterns,Alius
33,"Write a function that checks if all tickets are sold and returns True if some tickets are sold, but only if they were purchased early.",Subalterns,Alius
34,"Write a function that checks if all employees are full-time and returns True if some employees are full-time, but only if they have benefits.",Subalterns,Alius
35,"Write a function that checks if all phones are smartphones and returns True if some phones are smartphones, but only if they have a touchscreen.",Subalterns,Alius
36,"Write a function that checks if all tasks are completed and returns True if some tasks are completed, but only if they are urgent.",Subalterns,Alius
37,"Write a function that checks if all animals are domesticated and returns True if some animals are domesticated, but only if they live indoors.",Subalterns,Alius
38,"Write a function that checks if all restaurants are open and returns True if some restaurants are open, but only if they serve breakfast.",Subalterns,Alius
39,"Write a function that checks if all books are available and returns True if some books are available, but only if they are new.",Subalterns,Alius
40,Write a function that checks if all students in a list have passed and returns True if some students have passed.,Subalterns,Simplex
41,Write a function that checks if all items are expensive and returns True if some items are expensive.,Subalterns,Simplex
42,Write a function that checks if all lights are on and returns True if some lights are on.,Subalterns,Simplex
43,Write a function that checks if all employees are active and returns True if some employees are active.,Subalterns,Simplex
44,Write a function that checks if all transactions were successful and returns True if some transactions were successful.,Subalterns,Simplex
45,Write a function that checks if all items are available and returns True if some items are available.,Subalterns,Simplex
46,Write a function that checks if all websites are up and returns True if some websites are up.,Subalterns,Simplex
47,Write a function that checks if all students are graduated and returns True if some students are graduated.,Subalterns,Simplex
48,Write a function that checks if all cars are working and returns True if some cars are working.,Subalterns,Simplex
49,Write a function that checks if all tasks are completed and returns True if some tasks are completed.,Subalterns,Simplex
50,Write a function that checks if all numbers are even and returns True if some numbers are even.,Subalterns,Idem
51,Write a function that checks if all workers are busy and returns True if some workers are busy.,Subalterns,Idem
52,Write a function that checks if all books are available and returns True if some books are available.,Subalterns,Idem
53,Write a function that checks if all jobs are open and returns True if some jobs are open.,Subalterns,Idem
54,Write a function that checks if all dogs are trained and returns True if some dogs are trained.,Subalterns,Idem
55,Write a function that checks if all fruits are fresh and returns True if some fruits are fresh.,Subalterns,Idem
56,Write a function that checks if all courses are online and returns True if some courses are online.,Subalterns,Idem
57,Write a function that checks if all products are available and returns True if some products are available.,Subalterns,Idem
58,Write a function that checks if all people are vaccinated and returns True if some people are vaccinated.,Subalterns,Idem
59,Write a function that checks if all tickets are sold and returns True if some tickets are sold.,Subalterns,Idem
60,Write a function that returns True if the heater is both ON and OFF during the same season.,Contraries,Idem
61,Write a function that returns True if the heating system is both ON and OFF during the same period.,Contraries,Idem
62,Write a function that returns True if the security system is both ARMED during the night and DISARMED during the day.,Contraries,Idem
63,Write a function that returns True if a traffic light is both RED during rush hour and GREEN during non-rush hour.,Contraries,Idem
64,Write a function that returns True if the AC is both COOLING during the day and HEATING during the night.,Contraries,Idem
65,Write a function that returns True if the window is both OPEN during the day and CLOSED at night.,Contraries,Idem
66,Write a function that returns True if the fan is both ON during summer and OFF during winter.,Contraries,Idem
67,Write a function that returns True if the lights are both ON during the night and OFF during the day.,Contraries,Idem
68,Write a function that returns True if the heater is both HEATING during winter and COOLING during summer.,Contraries,Idem
69,Write a function that returns True if the fan is both FAST during the day and SLOW during the night.,Contraries,Idem
70,Write a function that returns True if the traffic light is RED during rush hour and GREEN during off-peak times.,Contraries,Alius
71,Write a function that returns True if the car engine is ON when the car is moving and OFF when the car is parked.,Contraries,Alius
72,Write a function that returns True if the temperature is both HOT when the air conditioner is off and COLD when the air conditioner is on.,Contraries,Alius
73,Write a function that returns True if a window is both OPEN when it's daytime and CLOSED when it's nighttime.,Contraries,Alius
74,Write a function that returns True if a door is LOCKED at night and UNLOCKED during the day.,Contraries,Alius
75,Write a function that returns True if a heater is both ON during the winter and OFF during the summer.,Contraries,Alius
76,Write a function that returns True if a fan is ON when it's summer and OFF when it's winter.,Contraries,Alius
77,Write a function that returns True if an alarm system is both ARMED when you're at home and DISARMED when you're away.,Contraries,Alius
78,Write a function that returns True if a security system is ACTIVE during the day and INACTIVE during the night.,Contraries,Alius
79,Write a function that returns True if the heating system is ON during the cold season and OFF during the warm season.,Contraries,Alius
80,Write a function that returns True if a light is both RED and BLUE at the same time.,Contraries,Simplex
81,Write a function that returns True if the temperature is both HOT and COLD at the same time.,Contraries,Simplex
82,Write a function that returns True if a car is both MOVING and PARKED at the same time.,Contraries,Simplex
83,Write a function that returns True if a window is both OPEN and CLOSED at the same time.,Contraries,Simplex
84,Write a function that returns True if a battery is both CHARGED and UNCHARGED at the same time.,Contraries,Simplex
85,Write a function that returns True if a door is both OPEN and CLOSED at the same time.,Contraries,Simplex
86,Write a function that returns True if the power is both ON and OFF at the same time.,Contraries,Simplex
87,Write a function that returns True if a traffic light is both RED and GREEN at the same time.,Contraries,Simplex
88,Write a function that returns True if the air conditioner is both ON and OFF at the same time.,Contraries,Simplex
89,Write a function that returns True if the alarm system is both ARMED and DISARMED at the same time.,Contraries,Simplex
